iv_tga_20160323.gare,iv_tga_20160323.maj,iv_tga_20160323.train,iv_tga_20160323.ordes,iv_tga_20160323.num,iv_tga_20160323.type,iv_tga_20160323.picto,iv_tga_20160323.attribut_voie,iv_tga_20160323.voie,iv_tga_20160323.heure,iv_tga_20160323.etat,iv_tga_20160323.retard
ABT,1494704790,1,LE TREPORT,847510,TER,40,,5,1494656460,,
ABT,1494704790,2,AMIENS,848953,TER,40,,1,1494662100,,
ABT,1494704790,3,ROUEN,848952,TER,40,,2,1494662460,,
ABT,1494704790,4,PARIS NORD,847505,TER,40,,3,1494663540,,
ABT,1494704790,5,LE TREPORT,847516,TER,40,,A,1494675180,,
ABT,1494704790,6,AMIENS,848959,TER,40,,1,1494679800,,
ABT,1494704790,7,AMIENS,848963,TER,40,,1,1494691020,,
ABT,1494704790,8,LE TREPORT,847520,TER,40,,5,1494694200,,
ABT,1494704790,9,ROUEN,848926,TER,40,,2,1494694860,,
ABT,1494704790,10,BEAUVAIS,847519,TER,40,,3,1494696060,,
