gare,agence,numTrain,Date Heure du train,typeTrain,dateHeure1erAffichageVoie,delaiAffichageVoieHorsRetard,delaiAffichageVoieRetardCompris,instantAffichageHorsRetard,instantAffichageRetardCompris,dernierRetardAffiche,nbrRetardsConfirmes,nbDevoiementsTotal,nbDevoiementsAffiches,nbDevoiementsNonAffiches
Amiens,AG Manche-Nord,848537,04/05/2017 23:51:00,TER,04/05/2017 23:45:59,5,5,H-5.0,H-5,,0,0,0,0
Aix-en-Provence TGV,AG Méditerranée,6106,05/05/2017 07:13:00,TGV,05/05/2017 00:01:39,431,431,H-431.0,H-431,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6299,05/05/2017 07:44:00,OUIGO,05/05/2017 00:01:39,462,467,H-462.0,H-467,00:05:00,1,,,
Aix-en-Provence TGV,AG Méditerranée,6102,05/05/2017 05:31:00,TGV,05/05/2017 00:01:39,329,329,H-329.0,H-329,,0,,,
Aix-en-Provence TGV,AG Méditerranée,9730,05/05/2017 08:15:00,TGV,05/05/2017 00:01:39,493,493,H-493.0,H-493,,0,,,
Aix-en-Provence TGV,AG Méditerranée,2912,05/05/2017 09:12:00,IDTGV,05/05/2017 00:01:39,550,550,H-550.0,H-550,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6814,05/05/2017 10:26:00,TGV,05/05/2017 00:01:39,624,624,H-624.0,H-624,,0,,,
Aix-en-Provence TGV,AG Méditerranée,12328,05/05/2017 12:17:00,TGV,05/05/2017 00:01:39,735,735,H-735.0,H-735,,0,,,
Aix-en-Provence TGV,AG Méditerranée,9860,05/05/2017 09:22:00,TGV,05/05/2017 00:01:39,560,560,H-560.0,H-560,,0,,,
Aix-en-Provence TGV,AG Méditerranée,9582,05/05/2017 08:22:00,TGV,05/05/2017 00:01:39,500,500,H-500.0,H-500,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6112,05/05/2017 09:12:00,TGV,05/05/2017 00:01:39,550,550,H-550.0,H-550,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6103,05/05/2017 10:44:00,TGV,05/05/2017 00:01:39,642,642,H-642.0,H-642,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6114,05/05/2017 10:12:00,TGV,05/05/2017 00:01:39,610,610,H-610.0,H-610,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6101,05/05/2017 09:27:00,TGV,05/05/2017 00:01:39,565,565,H-565.0,H-565,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6150,05/05/2017 06:34:00,TGV,05/05/2017 00:01:39,392,392,H-392.0,H-392,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6284,05/05/2017 08:33:00,OUIGO,05/05/2017 00:01:39,511,511,H-511.0,H-511,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6116,05/05/2017 12:13:00,TGV,05/05/2017 00:01:39,731,731,H-731.0,H-731,,0,,,
Aix-en-Provence TGV,AG Méditerranée,14919,05/05/2017 06:22:00,TGV,05/05/2017 00:01:39,380,380,H-380.0,H-380,,0,,,
Aix-en-Provence TGV,AG Méditerranée,6805,05/05/2017 08:03:00,TGV,05/05/2017 00:01:39,481,486,H-481.0,H-486,00:05:00,1,,,
Lyon Perrache,AG Centre Est Rhône Alpin,886252,05/05/2017 06:58:00,TER,05/05/2017 00:01:41,416,416,H-416.0,H-416,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,49799,05/05/2017 06:10:00,BUS,05/05/2017 00:01:41,368,368,H-368.0,H-368,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,887102,05/05/2017 06:41:00,TER,05/05/2017 00:01:41,399,399,H-399.0,H-399,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,3551484,05/05/2017 07:20:00,TER,05/05/2017 00:01:41,438,438,H-438.0,H-438,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,887103,05/05/2017 06:45:00,TER,05/05/2017 00:01:41,403,403,H-403.0,H-403,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,887304,05/05/2017 06:35:00,TER,05/05/2017 00:01:41,393,393,H-393.0,H-393,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,889403,05/05/2017 06:51:00,TER,05/05/2017 00:01:41,409,409,H-409.0,H-409,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,39550,05/05/2017 05:40:00,BUS,05/05/2017 00:01:41,338,338,H-338.0,H-338,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,887104,05/05/2017 07:11:00,TER,05/05/2017 00:01:41,429,429,H-429.0,H-429,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,886102,05/05/2017 06:50:00,TER,05/05/2017 00:01:41,408,408,H-408.0,H-408,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,886605,05/05/2017 07:31:00,TER,05/05/2017 00:01:41,449,449,H-449.0,H-449,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,887105,05/05/2017 07:15:00,TER,05/05/2017 00:01:41,433,433,H-433.0,H-433,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,886250,05/05/2017 06:28:00,TER,05/05/2017 00:01:41,386,386,H-386.0,H-386,,0,,,
Lyon Perrache,AG Centre Est Rhône Alpin,887302,05/05/2017 06:05:00,TER,05/05/2017 00:01:41,363,363,H-363.0,H-363,,0,,,
