Nom de la gare;UIC;Code postal;Segmentation marketing;Segmentation décret;Agence;Voyageurs 2014
Colmar;182014;68000;2;a;Est-Européen;3 597 957
Mulhouse;182063;68053;2;a;Est-Européen;5 068 890
Strasbourg;212027;67000;1;a;Est-Européen;18 415 416
Agen;586008;47000;2;a;Sud-Ouest;1 273 393
Arcachon;582668;33120;3;b;Sud-Ouest;776 930
Bayonne;673004;64100;2;a;Sud-Ouest;859 476
Biarritz;673400;64200;2;a;Sud-Ouest;420 332
Bordeaux Saint-Jean;581009;33800;1;a;Sud-Ouest;12 018 728
Dax;673202;40100;2;a;Sud-Ouest;888 573
Biganos-Facture;582478;33380;3;b;Sud-Ouest;785 844
Hendaye;677005;64700;2;a;Sud-Ouest;366 633
Langon;582775;33210;4;b;Sud-Ouest;621 598
Libourne;584052;33500;2;a;Sud-Ouest;1 309 174
Mont de Marsan;671016;40000;3;b;Sud-Ouest;280 627
Orthez;672253;64300;3;b;Sud-Ouest;162 643
Pau;672006;64000;2;a;Sud-Ouest;830 747
Périgueux ;595009;24000;3;b;Sud-Ouest;933 026
Saint-Jean de Luz Ciboure;677120;64500;3;b;Sud-Ouest;308 898
Clermont Ferrand;734004;63000;2;a;Centre Est Rhône Alpes;3 845 745
Le Puy en Velay;734699;43000;4;b;Centre Est Rhône Alpes;202 442
Montluçon;641001;3100;3;b;Centre Est Rhône Alpes;382 782
Moulins sur Allier;696328;3000;3;a;Centre Est Rhône Alpes;732 929
Vichy;732008;3200;3;a;Centre Est Rhône Alpes;1 246 106
Caen;444000;14000;2;a;Manche-Nord;3 290 788
Cherbourg;444877;50100;2;a;Manche-Nord;580 369
Granville;447680;50400;3;b;Manche-Nord;208 972
Lisieux;444265;14100;3;a;Manche-Nord;1 078 445
Trouville-Deauville;444372;14360;3;a;Manche-Nord;726 890
Chalon sur Saône;725002;71100;2;a;Centre Est Rhône Alpes;1 423 504
Dijon ;713040;21000;1;a;Centre Est Rhône Alpes;6 227 103
Laroches Migennes;683268;89400;3;b;Centre Est Rhône Alpes;401 315
Le Creusot TGV (Monceau Montchanin);694109;71210;2;a;Centre Est Rhône Alpes;712 984
Mâcon Loché TGV;725705;71000;2;a;Centre Est Rhône Alpes;420 150
Mâcon;725689;71000;3;b;Centre Est Rhône Alpes;1 225 911
Nevers;696005;58000;3;a;Centre Est Rhône Alpes;875 104
Auray;476200;56400;2;a;Centre-Ouest;778 680
Brest;474007;29200;2;a;Centre-Ouest;1 653 953
Guingamp;473207;22200;3;a;Centre-Ouest;602 862
Lorient;476002;56100;2;a;Centre-Ouest;1 221 703
Morlaix;474338;29600;2;a;Centre-Ouest;531 390
Quimper;474098;29000;2;a;Centre-Ouest;932 777
Redon;471300;35600;3;b;Centre-Ouest;853 798
Rennes;471003;35005;1;a;Centre-Ouest;9 439 120
Saint-Brieuc;473009;22000;2;a;Centre-Ouest;1 258 829
Vannes;476606;56000;2;a;Centre-Ouest;1 350 555
Blois;574004;41000;2;a;Centre-Ouest;1 530 279
Bourges;576207;18000;2;a;Centre-Ouest;959 613
Chartres;394007;28000;2;b;Centre-Ouest;2 796 744
Châteauroux;597005;36000;3;a;Centre-Ouest;784 798
Dreux;393488;28100;3;b;Centre-Ouest;723 411
Les Aubrais Orléans;543017;45400;2;a;Centre-Ouest;1 702 713
Montargis;684001;45200;3;b;Centre-Ouest;641 684
Orléans;543009;45000;2;a;Centre-Ouest;3 538 009
Saint-Pierre des Corps;571240;37700;1;a;Centre-Ouest;3 081 685
Tours;571000;37000;1;a;Centre-Ouest;4 732 298
Vendôme Villiers sur Loir;571216;41100;3;a;Centre-Ouest;397 363
Vierzon Ville;576009;18100;3;a;Centre-Ouest;864 558
Châlons en Champagne;174003;51000;3;b;Est-Européen;838 339
Champagne Ardenne TGV;171926;51430;3;a;Est-Européen;778 979
Charlevilles Mézières;172007;8000;3;a;Est-Européen;1 167 308
Epernay;171553;51200;3;b;Est-Européen;834 284
Reims;171009;51100;2;a;Est-Européen;3 975 869
Troyes;118000;10014;2;a;Est-Européen;1 019 834
Belfort;184002;90000;2;a;Centre Est Rhône Alpes;1 196 867
Besançon-Viotte;718007;25000;2;a;Centre Est Rhône Alpes;2 108 287
Dole;713412;39100;3;b;Centre Est Rhône Alpes;785 099
Lons Le Saunier;718239;39000;3;b;Centre Est Rhône Alpes;343 870
Vesoul;185009;70000;3;b;Centre Est Rhône Alpes;350 130
Evreux Normandie;387001;27000;3;a;Manche-Nord;1 143 163
Le Havre;413013;76600;2;a;Manche-Nord;1 852 113
Rouen Rive Droite;411017;76000;2;a;Manche-Nord;6 458 577
Val de Reuil;415877;27100;4;b;Manche-Nord;547 938
Vernon;415604;27200;3;b;Manche-Nord;1 720 642
Aéroport Charles de Gaulle 2 TGV;271494;95716;;;Ile-de-France;10 771 660
Marne la Vallée Chessy;111849;77111;1;a;Ile-de-France;5 110 489
Massy TGV;393702;91300;2;a;Ile-de-France;1 641 999
Paris Austerlitz;547026;75013;;;Ile-de-France;23 111 140
Paris Est;113001;75010;;;Ile-de-France;30 780 850
Paris Gare de Lyon;686006;75012;;;Ile-de-France;96 829 784
Paris Montparnasse 1 et 2+Vaugirard;391003;75015;;;Ile-de-France;53 767 484
Paris Nord;271007;75010;;;Ile-de-France;207 468 294
Paris St Lazare;384008;75008;;;Ile-de-France;105 487 816
Versailles Chantiers;393009;78000;;;Ile-de-France;25 193 256
Béziers;781005;34500;2;a;Méditerranée;2 952 957
Carcassonne;615286;11000;2;a;Méditerranée;839 733
Montpellier Saint-Roch;773002;34011;1;a;Méditerranée;8 289 542
Narbonne;781104;11100;2;a;Méditerranée;1 446 814
Nîmes;775007;30000;1;a;Méditerranée;3 880 906
Sète;773200;34200;2;a;Méditerranée;1 001 035
Brive la Gaillarde;594002;19100;2;a;Sud-Ouest;878 422
Limoges Bénédictins;592006;87000;2;a;Sud-Ouest;1 717 567
Bar le Duc;175042;55000;3;b;Est-Européen;422 066
Epinal;144006;88000;3;b;Est-Européen;1 167 468
Forbach;193003;57600;3;b;Est-Européen;369 714
Lorraine TGV;142109;57420;3;a;Est-Européen;580 237
Metz ;192039;57000;1;a;Est-Européen;7 446 429
Meuse TGV;147322;55220;4;a;Est-Européen;169 479
Nancy ;141002;54000;1;a;Est-Européen;8 097 242
Thionville;191007;57100;2;a;Est-Européen;2 656 201
Albi;615005;81000;3;b;Sud-Ouest;401 713
Cahors;613000;46000;3;b;Sud-Ouest;344 663
Lourdes;671339;65100;2;a;Sud-Ouest;687 291
Montauban Ville Bourbon;611244;82000;2;a;Sud-Ouest;1 099 786
Tarbes;671008;65000;2;a;Sud-Ouest;519 647
Toulouse Matabiau;611004;31500;1;a;Sud-Ouest;10 133 953
Arras;342014;62000;2;a;Manche-Nord;3 906 176
Béthune;342006;62400;3;b;Manche-Nord;1 785 380
Boulogne ;317586;62200;3;b;Manche-Nord;925 017
Calais-Fréthun;281071;62185;3;a;Manche-Nord;640 999
Calais ;317263;62100;3;b;Manche-Nord;999 441
Douai;345009;59500;2;a;Manche-Nord;2 821 051
Dunkerque;281006;59140;2;a;Manche-Nord;1 616 492
Lens;345025;62300;3;a;Manche-Nord;1 646 575
Lille Europe;223263;59777;1;a;Manche-Nord;7 070 203
Lille Flandres;286005;59000;1;a;Manche-Nord;18 502 164
Roubaix;286732;59100;4;b;Manche-Nord;92 434
Tourcoing;286542;59200;4;b;Manche-Nord;119 463
Valenciennes;343004;59300;2;a;Manche-Nord;3 206 931
Angers Saint Laud;484006;49100;2;a;Centre-Ouest;5 314 886
La Baule Escoublac;481754;44500;2;a;Centre-Ouest;407 831
La Roche sur Yon;486019;85000;3;a;Centre-Ouest;881 229
Laval;478404;53000;2;a;Centre-Ouest;1 208 661
Le Mans;396002;72000;2;a;Centre-Ouest;5 040 540
Nantes;481002;44041;1;a;Centre-Ouest;10 326 626
Saint-Nazaire;481705;44600;2;a;Centre-Ouest;811 008
Abbeville;317362;80100;3;b;Manche-Nord;781 919
Amiens;313874;80017;2;a;Manche-Nord;5 446 868
Château Thierry;116582;2400;3;b;Manche-Nord;751 890
Compiègne;276691;60200;2;a;Manche-Nord;2 362 018
Creil;276006;60100;2;b;Manche-Nord;4 096 854
Longueau;313049;80330;3;b;Manche-Nord;476 376
Saint-Quentin;296004;2100;3;b;Manche-Nord;1 182 817
TGV Haute-Picardie;313882;80200;2;a;Manche-Nord;323 826
Angoulême;583005;16000;2;a;Sud-Ouest;1 666 725
Châtellerault;575142;86100;3;a;Sud-Ouest;518 114
Futuroscope;324095;86360;3;a;Sud-Ouest;105 411
La Rochelle ;485003;17000;2;a;Sud-Ouest;1 912 395
NIORT;485300;79000;2;a;Sud-Ouest;1 233 165
Poitiers;575001;86000;2;a;Sud-Ouest;3 064 120
Rochefort;485144;17300;3;b;Sud-Ouest;383 433
Royan;491803;17200;3;b;Sud-Ouest;237 859
Saintes;491001;17100;3;b;Sud-Ouest;518 540
Saint-Maixent Deux Sèvres;485490;79400;4;b;Sud-Ouest;195 713
Surgères;485227;17700;3;b;Sud-Ouest;366 551
Aix en Provence;751404;13100;3;b;Méditerranée;623 993
Aix en Provence-TGV;319012;13592;1;a;Méditerranée;3 415 705
Antibes;757674;6600;2;a;Méditerranée;1 713 093
Arles;753657;13200;3;b;Méditerranée;565 036
Avignon Centre;765008;84000;2;b;Méditerranée;1 777 947
Avignon TGV;318964;84000;1;a;Méditerranée;3 495 516
Cannes;757625;6400;2;a;Méditerranée;3 351 596
Les Arcs Draguignan;755447;83460;2;a;Méditerranée;641 991
Marseille Saint-Charles;751008;13232;1;a;Méditerranée;12 379 110
Nice;756056;6008;1;a;Méditerranée;7 257 730
Saint-Raphaël Valescure;757526;83700;2;a;Méditerranée;1 162 145
Toulon;755009;83000;1;a;Méditerranée;3 471 273
Aix les Bains le Revard;741132;73100;2;a;Centre Est Rhône Alpes;1 229 940
Albertville;741645;73200;3;b;Centre Est Rhône Alpes;345 959
Annecy;746008;74000;2;a;Centre Est Rhône Alpes;2 291 010
Bellegarde;745000;1200;2;a;Centre Est Rhône Alpes;1 168 295
Bourg en Bresse;743005;1000;2;a;Centre Est Rhône Alpes;1 765 941
Bourg Saint Maurice;741793;73700;2;a;Centre Est Rhône Alpes;316 379
Chambéry Challes les Eaux;741009;73010;2;a;Centre Est Rhône Alpes;3 929 651
Echirolles;725895;38130;5;b;Centre Est Rhône Alpes;433 587
Grenoble;747006;38000;1;a;Centre Est Rhône Alpes;7 677 527
Grenoble Universités Gières;747402;38610;4;b;Centre Est Rhône Alpes;597 495
Jarrie-Vizille;747535;38560;4;c;Centre Est Rhône Alpes;35 028
Lancey;417501;38190;5;c;Centre Est Rhône Alpes;114 878
Lyon Part Dieu;723197;69003;1;a;Centre Est Rhône Alpes;31 683 087
Lyon Perrache;722025;69286;1;a;Centre Est Rhône Alpes;5 881 998
Lyon Saint-Exupéry TGV;762906;69125;2;a;Centre Est Rhône Alpes;1 185 738
Montélimar;764001;26200;2;a;Centre Est Rhône Alpes;928 758
Moutiers Salins Brides les Bains;741728;73600;2;a;Centre Est Rhône Alpes;373 934
Pont de Claix;747519;38800;4;c;Centre Est Rhône Alpes;13 156
Saint-Egrève-Saint-Robert;747352;38120;4;c;Centre Est Rhône Alpes;55 912
Saint-Étienne Châteaucreux;726000;42000;2;a;Centre Est Rhône Alpes;3 453 197
Saint-Georges de Commiers;747568;38450;5;c;Centre Est Rhône Alpes;9 758
Saint-Jean de Maurienne Arvan;742320;73300;3;b;Centre Est Rhône Alpes;314 057
Valence TGV Rhône-Alpes Sud;763029;26958;2;a;Centre Est Rhône Alpes;2 501 056
Valence;761007;26000;2;b;Centre Est Rhône Alpes;2 050 368
Vif;747576;38450;4;c;Centre Est Rhône Alpes;8 408
Voreppe;747337;38340;4;b;Centre Est Rhône Alpes;313 494
Aiserey;713636;21110;5;c;Centre Est Rhône Alpes;28 070
Auxonne;713347;21130;4;b;Centre Est Rhône Alpes;254 629
Beaune;713545;21200;3;b;Centre Est Rhône Alpes;960 802
Blaisy-Bas;713073;21540;5;c;Centre Est Rhône Alpes;42 509
Brazey en Plaine;713644;21470;5;c;Centre Est Rhône Alpes;43 748
Brétigny-Norges;712265;21490;5;c;Centre Est Rhône Alpes;10 100
Chaugey;712679;21290;5;c;Centre Est Rhône Alpes;14 832
Collonges;713321;21110;5;c;Centre Est Rhône Alpes;24 444
Corgoloin;713537;21700;5;c;Centre Est Rhône Alpes;14 599
Dijon Porte Neuve;713008;21000;5;b;Centre Est Rhône Alpes;162 781
Gemeaux;713842;21120;5;c;Centre Est Rhône Alpes;21 408
Genlis;713313;21110;4;b;Centre Est Rhône Alpes;244 701
Gevrey Chambertin;713503;21220;5;c;Centre Est Rhône Alpes;93 765
Is sur Tille;713859;21120;4;b;Centre Est Rhône Alpes;184 099
La Roche en Brénil;694448;21530;4;c;Centre Est Rhône Alpes;72
Lantenay;712323;21370;5;c;Centre Est Rhône Alpes;15 667
Les Laumes Alésia;713115;21150;4;b;Centre Est Rhône Alpes;163 315
Liernais;694497;24430;5;c;Centre Est Rhône Alpes;730
Longecourt;712620;21230;5;c;Centre Est Rhône Alpes;8 610
Malain;713065;21410;5;c;Centre Est Rhône Alpes;38 735
Meursault;713560;21190;5;c;Centre Est Rhône Alpes;17 019
Montbard;713131;21500;3;b;Centre Est Rhône Alpes;406 188
Neuilly lès Dijon;712182;21800;5;c;Centre Est Rhône Alpes;8 753
Nuits Saint-Georges;713529;21700;4;b;Centre Est Rhône Alpes;250 202
Ouges;712604;21600;5;c;Centre Est Rhône Alpes;5 462
Pagny;713669;21250;5;c;Centre Est Rhône Alpes;9 192
Ruffey;713826;21200;5;c;Centre Est Rhône Alpes;21 984
Saulieu;694471;21210;4;c;Centre Est Rhône Alpes;463
Saulon;713628;21910;4;c;Centre Est Rhône Alpes;11 539
Seurre;713677;21250;4;c;Centre Est Rhône Alpes;64 652
Sincey-les-Rouvray;694430;21530;5;c;Centre Est Rhône Alpes;0
Saint-Jean de Losne;713651;21170;4;c;Centre Est Rhône Alpes;44 959
Saint-Julien Clenay;713834;21490;5;c;Centre Est Rhône Alpes;32 670
Thenissey;713099;21150;5;c;Centre Est Rhône Alpes;8 595
Velars;712331;21370;5;c;Centre Est Rhône Alpes;4 751
Verrey;713081;21540;5;c;Centre Est Rhône Alpes;31 388
Villers les Pots;713339;21130;5;c;Centre Est Rhône Alpes;6 751
Vougeot Gilly les Citeaux;713511;21640;5;c;Centre Est Rhône Alpes;35 455
Béard;696468;58160;5;c;Centre Est Rhône Alpes;2 768
Cercy la Tour;696492;58340;4;c;Centre Est Rhône Alpes;34 512
Chantenay Saint-Imbert;696302;58240;5;c;Centre Est Rhône Alpes;7 475
Clamecy;696807;58500;4;c;Centre Est Rhône Alpes;24 238
Corbigny;696617;58800;4;c;Centre Est Rhône Alpes;4 297
Cosne sur Loire;696146;58200;4;b;Centre Est Rhône Alpes;194 792
Coulanges sur Yonne;696831;89480;5;c;Centre Est Rhône Alpes;2 836
Decize;696484;58300;4;b;Centre Est Rhône Alpes;104 185
Flez Cuzy Tannay;696633;58190;5;c;Centre Est Rhône Alpes;682
Fourchambault;696229;58600;5;c;Centre Est Rhône Alpes;21 298
Garchizy;691436;58600;5;c;Centre Est Rhône Alpes;0
Imphy;696450;58160;4;c;Centre Est Rhône Alpes;44 560
La Charité;696195;58400;4;b;Centre Est Rhône Alpes;161 839
La Marche;691394;58400;5;c;Centre Est Rhône Alpes;1 452
Les Perrières;691600;58330;5;c;Centre Est Rhône Alpes;2 388
Luzy;696534;58170;4;c;Centre Est Rhône Alpes;24 151
Mesves-Bulcy;696187;58400;5;c;Centre Est Rhône Alpes;6 544
Nevers Le Banlay;559070;58000;5;c;Centre Est Rhône Alpes;46 541
Pougues les Eaux;696211;58320;5;c;Centre Est Rhône Alpes;16 028
Pouilly sur Loire;696179;58150;5;c;Centre Est Rhône Alpes;13 194
Saincaize;696260;58470;4;c;Centre Est Rhône Alpes;2 924
Saint-Pierre le Moutier;696294;58240;5;c;Centre Est Rhône Alpes;10 187
Tracy-Sancerre;696161;58150;5;c;Centre Est Rhône Alpes;11 524
Tronsanges;696203;58400;5;c;Centre Est Rhône Alpes;5 209
Vauzelles;691469;58640;5;c;Centre Est Rhône Alpes;3 321
Autun;694570;71400;4;c;Centre Est Rhône Alpes;72 025
Blanzy;694612;71450;5;c;Centre Est Rhône Alpes;7 842
